t=1789112854.218s wall=1789112844218ms | player_A: -93ms@1789112844.311s q=1 | player_B: WAIT q=0 newest=-
player_A JUMP draw +366ms (prev run idle 0.02s)
player_A JUMP draw +484ms (prev run idle 0.02s)
t=1789112854.303s wall=1789112844303ms | player_A: -858ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112854.321s wall=1789112844321ms | player_A: -840ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112854.337s wall=1789112844337ms | player_A: -824ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112854.340s wall=1789112844340ms | player_A: -821ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112854.357s wall=1789112844357ms | player_A: -804ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112854.361s wall=1789112844361ms | player_A: -800ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112854.368s wall=1789112844368ms | player_A: -793ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112854.372s wall=1789112844372ms | player_A: -789ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112854.377s wall=1789112844377ms | player_A: -784ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112854.382s wall=1789112844382ms | player_A: -779ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112854.390s wall=1789112844390ms | player_A: -771ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112854.394s wall=1789112844394ms | player_A: -767ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112854.400s wall=1789112844400ms | player_A: -761ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112854.407s wall=1789112844407ms | player_A: -754ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112854.413s wall=1789112844413ms | player_A: -748ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112854.420s wall=1789112844420ms | player_A: -741ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112854.427s wall=1789112844427ms | player_A: -735ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112854.437s wall=1789112844437ms | player_A: -724ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112854.445s wall=1789112844445ms | player_A: -716ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112854.453s wall=1789112844453ms | player_A: -708ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112854.460s wall=1789112844460ms | player_A: -701ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112854.466s wall=1789112844466ms | player_A: -695ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112854.471s wall=1789112844471ms | player_A: -690ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112854.478s wall=1789112844478ms | player_A: -684ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112854.482s wall=1789112844482ms | player_A: -679ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
